id_municipio,uf,municipio,longitude,latitude
4304,RS,Sobradinho,-53.032625,-29.419439
4305,RS,Soledade,-52.513083,-28.830613
4252,RS,São Borja,-56.003603,-28.657828
4253,RS,São Domingos do Sul,-51.88598,-28.531151
4254,RS,São Francisco de Assis,-55.12531,-29.554689
4255,RS,São Francisco de Paula,-50.582796,-29.440366
4256,RS,São Gabriel,-54.321657,-30.333688
4257,RS,São Jerônimo,-51.72507,-29.97158
4260,RS,São Jorge,-51.706422,-28.498445
4261,RS,São José das Missões,-53.122595,-27.778908
4262,RS,São José do Herval,-52.294991,-29.052035
4263,RS,São José do Hortêncio,-51.245048,-29.527962
4264,RS,São José do Inhacorá,-54.127462,-27.725055
4265,RS,São José do Norte,-52.033085,-32.015129
4266,RS,São José do Ouro,-51.59662,-27.770679
5654,RS,São José do Sul,-51.482104,-29.544818
4267,RS,São José dos Ausentes,-50.06772,-28.747589
4258,RS,São João da Urtiga,-51.825664,-27.819507
4259,RS,São João do Polêsine,-53.44392,-29.619435
4268,RS,São Leopoldo,-51.149773,-29.754494
4269,RS,São Lourenço do Sul,-51.971531,-31.356374
4270,RS,São Luiz Gonzaga,-54.955942,-28.412032
4271,RS,São Marcos,-51.069559,-28.967659
4272,RS,São Martinho,-53.969899,-27.711169
4273,RS,São Martinho da Serra,-53.859002,-29.539667
4274,RS,São Miguel das Missões,-54.555879,-28.556044
4275,RS,São Nicolau,-55.265441,-28.183365
4276,RS,São Paulo das Missões,-54.940352,-28.019546
4277,RS,São Pedro da Serra,-51.513381,-29.41932
5639,RS,São Pedro das Missões,-53.251298,-27.770568
4278,RS,São Pedro do Butiá,-54.892603,-28.12425
4279,RS,São Pedro do Sul,-54.185516,-29.620163
4280,RS,São Sebastião do Caí,-51.37488,-29.588517
4281,RS,São Sepé,-53.560296,-30.164289
4282,RS,São Valentim,-52.523714,-27.558284
4283,RS,São Valentim do Sul,-51.768356,-29.045056
4284,RS,São Valério do Sul,-53.936771,-27.790639
4285,RS,São Vendelino,-51.367515,-29.372873
4286,RS,São Vicente do Sul,-54.682643,-29.688161
4297,RS,Sério,-52.2685,-29.390428
4306,RS,Tabaí,-51.682292,-29.643041
4307,RS,Tapejara,-52.009665,-28.065237
4308,RS,Tapera,-52.861253,-28.627729
4309,RS,Tapes,-51.39914,-30.668308
4310,RS,Taquara,-50.775278,-29.650471
4311,RS,Taquari,-51.865346,-29.79433
4312,RS,Taquaruçu do Sul,-53.47025,-27.400452
4313,RS,Tavares,-51.08804,-31.284266
4314,RS,Tenente Portela,-53.758484,-27.371058
4315,RS,Terra de Areia,-50.06439,-29.578199
4316,RS,Teutônia,-51.804375,-29.448205
5629,RS,Tio Hugo,-52.595507,-28.571229
4317,RS,Tiradentes do Sul,-54.081367,-27.402229
4318,RS,Toropi,-54.224398,-29.478246
4319,RS,Torres,-49.733289,-29.333438
4320,RS,Tramandaí,-50.132187,-29.98414
4321,RS,Travesseiro,-52.053228,-29.297662
4329,RS,Trindade do Sul,-52.895593,-27.523896
4330,RS,Triunfo,-51.707471,-29.929129
4322,RS,Três Arroios,-52.144753,-27.500273
4323,RS,Três Cachoeiras,-49.927514,-29.448661
4324,RS,Três Coroas,-50.773869,-29.513719
4326,RS,Três Forquilhas,-50.070771,-29.53842
